gfr,pe,year,pill,ww2
124.6999969482422,0,1913,0,0
126.5999984741211,0,1914,0,0
125,0,1915,0,0
123.4000015258789,0,1916,0,0
121,19.27000045776367,1917,0,0
119.8000030517578,23.94000053405762,1918,0,0
111.1999969482422,20.06999969482422,1919,0,0
117.9000015258789,15.32999992370605,1920,0,0
119.8000030517578,34.31999969482422,1921,0,0
111.1999969482422,36.65000152587891,1922,0,0
110.5,25.82999992370605,1923,0,0
110.9000015258789,27.34000015258789,1924,0,0
106.5999984741211,22.85000038146973,1925,0,0
102.5999984741211,21.1299991607666,1926,0,0
99.80000305175781,24.61000061035156,1927,0,0
93.80000305175781,31.95999908447266,1928,0,0
89.19999694824219,27.29000091552734,1929,0,0
89.19999694824219,18.39999961853027,1930,0,0
84.59999847412109,14.90999984741211,1931,0,0
81.69999694824219,28.36000061035156,1932,0,0
76.30000305175781,31.95000076293945,1933,0,0
78.5,33.90999984741211,1934,0,0
77.19999694824219,36.97999954223633,1935,0,0
75.80000305175781,50.11999893188477,1936,0,0
77.09999847412109,42.79000091552734,1937,0,0
79.09999847412109,32.22000122070313,1938,0,0
77.59999847412109,36.52999877929688,1939,0,0
79.90000152587891,53.33000183105469,1940,0,0
83.40000152587891,102.4899978637695,1941,0,1
91.5,137.6999969482422,1942,0,1
94.30000305175781,141.1999969482422,1943,0,1
88.40000152587891,243.8300018310547,1944,0,1
85.90000152587891,238.3999938964844,1945,0,1
101.9000015258789,193.1600036621094,1946,0,0
113.3000030517578,168.8999938964844,1947,0,0
107.3000030517578,149.7899932861328,1948,0,0
107.0999984741211,147.0500030517578,1949,0,0
106.1999969482422,163.1000061035156,1950,0,0
111.5,178.1399993896484,1951,0,0
113.9000015258789,189.4299926757813,1952,0,0
115.1999969482422,186.5099945068359,1953,0,0
118.0999984741211,165.4600067138672,1954,0,0
118.5,170.5700073242188,1955,0,0
121.1999969482422,171,1956,0,0
122.9000015258789,165.1199951171875,1957,0,0
120.1999969482422,158.6600036621094,1958,0,0
118.8000030517578,162.1900024414063,1959,0,0
118,158.2799987792969,1960,0,0
117.1999969482422,160.7100067138672,1961,0,0
112.1999969482422,161.5800018310547,1962,0,0
108.5,161.6100006103516,1963,1,0
105,142.7299957275391,1964,1,0
96.59999847412109,134.6000061035156,1965,1,0
91.30000305175781,133.9400024414063,1966,1,0
87.59999847412109,133.8000030517578,1967,1,0
85.69999694824219,145.1000061035156,1968,1,0
86.5,142.6199951171875,1969,1,0
87.90000152587891,130.5800018310547,1970,1,0
81.80000305175781,132.9900054931641,1971,1,0
73.40000152587891,144.8500061035156,1972,1,0
69.19999694824219,140.8699951171875,1973,1,0
68.40000152587891,130.4900054931641,1974,1,0
66,122.3600006103516,1975,1,0
65.80000305175781,120.0800018310547,1976,1,0
66.80000305175781,116.1100006103516,1977,1,0
65.5,118.9800033569336,1978,1,0
67.19999694824219,132.9299926757813,1979,1,0
68.40000152587891,123.1699981689453,1980,1,0
67.40000152587891,119.3099975585938,1981,1,0
67.30000305175781,102.0400009155273,1982,1,0
65.80000305175781,92.48999786376953,1983,1,0
65.40000152587891,83.90000152587891,1984,1,0
